CoordinateX, Density, Velocity, Pressure
    0.005000000,    0.999974580,    0.000030078,    0.999964412
    0.015000000,    0.999952006,    0.000056788,    0.999932809
    0.025000000,    0.999911671,    0.000104514,    0.999876343
    0.035000000,    0.999841576,    0.000187456,    0.999778218
    0.045000000,    0.999723147,    0.000327597,    0.999612442
    0.055000000,    0.999528697,    0.000557715,    0.999340277
    0.065000000,    0.999218539,    0.000924814,    0.998906225
    0.075000000,    0.998738092,    0.001493590,    0.998234018
    0.085000000,    0.998015483,    0.002349345,    0.997223344
    0.095000000,    0.996960323,    0.003599588,    0.995748280
    0.105000000,    0.995464332,    0.005373559,    0.993658407
    0.115000000,    0.993404348,    0.007819086,    0.990783362
    0.125000000,    0.990647873,    0.011096623,    0.986941056
    0.135000000,    0.987060802,    0.015370891,    0.981949011
    0.145000000,    0.982516445,    0.020801091,    0.975637513
    0.155000000,    0.976904630,    0.027531044,    0.967862769
    0.165000000,    0.970139551,    0.035680640,    0.958518105
    0.175000000,    0.962165314,    0.045339711,    0.947541652
    0.185000000,    0.952958577,    0.056564917,    0.934919655
    0.195000000,    0.942528240,    0.069379661,    0.920685368
    0.205000000,    0.930912605,    0.083776579,    0.904914230
    0.215000000,    0.918174747,    0.099721865,    0.887716459
    0.225000000,    0.904396906,    0.117160607,    0.869228306
    0.235000000,    0.889674663,    0.136022396,    0.849603124
    0.245000000,    0.874111465,    0.156226642,    0.829003125
    0.255000000,    0.857813884,    0.177687237,    0.807592332
    0.265000000,    0.840887785,    0.200316394,    0.785531014
    0.275000000,    0.823435425,    0.224027618,    0.762971573
    0.285000000,    0.805553426,    0.248737872,    0.740055789
    0.295000000,    0.787331485,    0.274369057,    0.716913186
    0.305000000,    0.768851680,    0.300848917,    0.693660284
    0.315000000,    0.750188223,    0.328111530,    0.670400523
    0.325000000,    0.731407545,    0.356097477,    0.647224649
    0.335000000,    0.712568585,    0.384753800,    0.624211392
    0.345000000,    0.693723221,    0.414033833,    0.601428329
    0.355000000,    0.674916756,    0.443896974,    0.578932809
    0.365000000,    0.656188432,    0.474308443,    0.556772900
    0.375000000,    0.637571916,    0.505239073,    0.534988288
    0.385000000,    0.619095752,    0.536665182,    0.513611104
    0.395000000,    0.600783739,    0.568568550,    0.492666656
    0.405000000,    0.582655235,    0.600936553,    0.472174054
    0.415000000,    0.564725366,    0.633762501,    0.452146706
    0.425000000,    0.547005139,    0.667046198,    0.432592710
    0.435000000,    0.529501492,    0.700794733,    0.413515162
    0.445000000,    0.512217425,    0.735023228,    0.394912547
    0.455000000,    0.495152764,    0.769754418,    0.376779791
    0.465000000,    0.478307621,    0.805012457,    0.359112042
    0.475000000,    0.461696959,    0.840791442,    0.341919574
    0.485000000,    0.445416131,    0.876903565,    0.325293220
    0.495000000,    0.429996079,    0.912124926,    0.309755851
    0.505000000,    0.418730381,    0.938449012,    0.298566556
    0.515000000,    0.421492233,    0.931582612,    0.301451862
    0.525000000,    0.421337668,    0.931625968,    0.301434391
    0.535000000,    0.421551677,    0.930758148,    0.301801324
    0.545000000,    0.421632345,    0.930163697,    0.302053099
    0.555000000,    0.421600282,    0.929783413,    0.302214523
    0.565000000,    0.421494408,    0.929509662,    0.302330978
    0.575000000,    0.421323515,    0.929297203,    0.302421554
    0.585000000,    0.421079642,    0.929123808,    0.302495632
    0.595000000,    0.420737944,    0.928977450,    0.302558287
