CoordinateX, Density, Velocity, Pressure
    0.005000000,    0.989853444,    0.012040232,    0.985839881
    0.015000000,    0.988460181,    0.013698397,    0.983902073
    0.025000000,    0.986899689,    0.015557229,    0.981733684
    0.035000000,    0.985156028,    0.017636411,    0.979313095
    0.045000000,    0.983212247,    0.019956901,    0.976617552
    0.055000000,    0.981050495,    0.022540924,    0.973623251
    0.065000000,    0.978652080,    0.025411957,    0.970305430
    0.075000000,    0.975997514,    0.028594710,    0.966638484
    0.085000000,    0.973066594,    0.032115090,    0.962596100
    0.095000000,    0.969838483,    0.036000167,    0.958151421
    0.105000000,    0.966291808,    0.040278122,    0.953277219
    0.115000000,    0.962404774,    0.044978192,    0.947946101
    0.125000000,    0.958155286,    0.050130606,    0.942130727
    0.135000000,    0.953521089,    0.055766525,    0.935804045
    0.145000000,    0.948479909,    0.061917964,    0.928939540
    0.155000000,    0.943009616,    0.068617727,    0.921511504
    0.165000000,    0.937088380,    0.075899329,    0.913495301
    0.175000000,    0.930694853,    0.083796932,    0.904867649
    0.185000000,    0.923808333,    0.092345271,    0.895606903
    0.195000000,    0.916408956,    0.101579595,    0.885693334
    0.205000000,    0.908477868,    0.111535607,    0.875109408
    0.215000000,    0.899997416,    0.122249413,    0.863840059
    0.225000000,    0.890951326,    0.133757481,    0.851872949
    0.235000000,    0.881324885,    0.146096599,    0.839198719
    0.245000000,    0.871105120,    0.159303855,    0.825811229
    0.255000000,    0.860280969,    0.173416627,    0.811707772
    0.265000000,    0.848843460,    0.188472508,    0.796889234
    0.275000000,    0.836785861,    0.204509390,    0.781360378
    0.285000000,    0.824103864,    0.221565406,    0.765129913
    0.295000000,    0.810795725,    0.239678940,    0.748210664
    0.305000000,    0.796862425,    0.258888619,    0.730619690
    0.315000000,    0.782307820,    0.279233299,    0.712378384
    0.325000000,    0.767138792,    0.300752040,    0.693512557
    0.335000000,    0.751365406,    0.323484042,    0.674052502
    0.345000000,    0.735001070,    0.347468557,    0.654033057
    0.355000000,    0.718062716,    0.372744722,    0.633493656
    0.365000000,    0.700570998,    0.399351312,    0.612478392
