CoordinateX, Density, Velocity, Pressure
    0.005000000,    0.989626055,    0.389501132,  985.513495750
    0.015000000,    0.984329365,    0.589556169,  978.143245738
    0.025000000,    0.977637028,    0.843486369,  968.855423513
    0.035000000,    0.969601773,    1.150138649,  957.739457157
    0.045000000,    0.960346616,    1.505796718,  944.983658324
    0.055000000,    0.950034756,    1.905225065,  930.831497469
    0.065000000,    0.938842983,    2.342599945,  915.543275936
    0.075000000,    0.926942914,    2.812174776,  899.369325779
    0.085000000,    0.914490248,    3.308670048,  882.534903397
    0.095000000,    0.901620216,    3.827447913,  865.234059958
    0.105000000,    0.888447034,    4.364546172,  847.629237976
    0.115000000,    0.875065526,    4.916633850,  829.853939370
    0.125000000,    0.861553691,    5.480931015,  812.016677806
    0.135000000,    0.847975484,    6.055118354,  794.205170725
    0.145000000,    0.834383435,    6.637249974,  776.490241429
    0.155000000,    0.820820951,    7.225675356,  758.929214799
    0.165000000,    0.807324258,    7.818972206,  741.568761182
    0.175000000,    0.793924005,    8.415889829,  724.447225572
    0.185000000,    0.780646568,    9.015301713,  707.596511813
    0.195000000,    0.767515124,    9.616165763,  691.043598394
    0.205000000,    0.754550508,   10.217490632,  674.811757415
    0.215000000,    0.741771928,   10.818306766,  658.921539224
    0.225000000,    0.729197554,   11.417640897,  643.391576176
    0.235000000,    0.716845025,   12.014492811,  628.239252053
    0.245000000,    0.704731892,   12.607813174,  613.481280330
    0.255000000,    0.692876047,   13.196480932,  599.134235528
    0.265000000,    0.681296162,   13.779278337,  585.215088516
    0.275000000,    0.670012205,   14.354860800,  571.741809330
    0.285000000,    0.659046093,   14.921717572,  558.734120128
    0.295000000,    0.648422590,   15.478117724,  546.214504560
    0.305000000,    0.638170548,   16.022034257,  534.209602443
    0.315000000,    0.628324644,   16.551038147,  522.752126877
    0.325000000,    0.618927686,   17.062155269,  511.883407790
    0.335000000,    0.610033499,   17.551685340,  501.656541590
    0.345000000,    0.601710101,   18.014998263,  492.139830790
    0.355000000,    0.594042353,   18.446356496,  483.419621510
    0.365000000,    0.587132393,   18.838868201,  475.600704429
    0.375000000,    0.581095041,   19.184749944,  468.801238794
    0.385000000,    0.576044575,   19.476131318,  463.138338045
    0.395000000,    0.572070376,   19.706570793,  458.701613693
    0.405000000,    0.569203853,   19.873141334,  455.517276613
    0.415000000,    0.567387903,   19.978378138,  453.514998136
    0.425000000,    0.566467362,   20.030923952,  452.517602177
    0.435000000,    0.566214008,   20.044020446,  452.268531296
    0.445000000,    0.566379788,   20.032251735,  452.490343608
    0.455000000,    0.566751988,   20.008173852,  452.945514145
    0.465000000,    0.567184251,   19.980424736,  453.470690993
    0.475000000,    0.567596835,   19.953696996,  453.976937885
    0.485000000,    0.567958111,   19.929835628,  454.429124871
    0.495000000,    0.568263090,   19.909110943,  454.821971889
    0.505000000,    0.568517784,   19.891142764,  455.162584857
    0.515000000,    0.568730698,   19.875401765,  455.460944994
    0.525000000,    0.568909305,   19.861415475,  455.725983759
    0.535000000,    0.569059126,   19.848820826,  455.964571726
    0.545000000,    0.569183783,   19.837357419,  456.181637993
    0.555000000,    0.569285311,   19.826847564,  456.380544420
    0.565000000,    0.569364691,   19.817175246,  456.563482678
    0.575000000,    0.569423550,   19.808259761,  456.731974594
    0.585000000,    0.569469992,   19.800022275,  456.887509114
    0.595000000,    0.569536606,   19.792358540,  457.032063830
    0.605000000,    0.569729800,   19.785139372,  457.168100511
    0.615000000,    0.570348849,   19.778243305,  457.297956145
    0.625000000,    0.572136497,   19.771593533,  457.423176944
    0.635000000,    0.576735090,   19.765164884,  457.544476022
    0.645000000,    0.587394203,   19.758963446,  457.662304503
    0.655000000,    0.609876333,   19.753015857,  457.777367241
    0.665000000,    0.653329129,   19.747385564,  457.890732936
    0.675000000,    0.730685251,   19.742171953,  458.004224948
    0.685000000,    0.858034241,   19.737403827,  458.122842379
    0.695000000,    1.052537916,   19.732821035,  458.260782614
    0.705000000,    1.328872321,   19.728281100,  458.433708390
    0.715000000,    1.694841706,   19.724051101,  458.646745630
    0.725000000,    2.147400553,   19.720472530,  458.880082447
    0.735000000,    2.670469575,   19.715261405,  459.054065126
    0.745000000,    3.234007074,   19.697846677,  458.673514950
    0.755000000,    3.789811317,   19.629342408,  455.683065305
    0.765000000,    4.251306377,   19.391017679,  443.439013196
    0.775000000,    4.441009841,   18.664708338,  405.060572597
    0.785000000,    4.044009554,   16.694054538,  311.632956653
    0.795000000,    2.857239205,   12.058360146,  156.618019326
    0.805000000,    1.554418033,    4.333422717,   28.871665617
    0.815000000,    1.056189757,    0.206079113,    0.482905685
    0.825000000,    1.000973741,    0.000227560,    0.010041773
    0.835000000,    1.000000043,    0.000000005,    0.010000001
    0.845000000,    1.000000000,    0.000000000,    0.010000000
    0.855000000,    1.000000000,    0.000000000,    0.010000000
    0.865000000,    1.000000000,    0.000000000,    0.010000000
    0.875000000,    1.000000000,    0.000000000,    0.010000000
    0.885000000,    1.000000000,    0.000000000,    0.010000000
    0.895000000,    1.000000000,    0.000000000,    0.010000000
    0.905000000,    1.000000000,    0.000000000,    0.010000000
    0.915000000,    1.000000000,    0.000000000,    0.010000000
    0.925000000,    1.000000000,    0.000000000,    0.010000000
    0.935000000,    1.000000000,    0.000000000,    0.010000000
    0.945000000,    1.000000000,    0.000000000,    0.010000000
    0.955000000,    1.000000000,    0.000000000,    0.010000000
    0.965000000,    1.000000000,    0.000000000,    0.010000000
    0.975000000,    1.000000000,    0.000000000,    0.010000000
    0.985000000,    1.000000000,    0.000000000,    0.010000000
    0.995000000,    1.000000000,    0.000000000,    0.010000000
