x, y, phi, CP_suctionSide
     -0.9565217,      0.0000000,      3.1415927,      0.0242156
     -0.8695652,      0.0000000,      3.1415927,      0.0441927
     -0.7826087,      0.0000000,      3.1415927,      0.0526514
     -0.6956522,      0.0000000,      3.1415927,      0.0591402
     -0.6086957,      0.0000000,      3.1415927,      0.0633829
     -0.5217391,      0.0000000,      3.1415927,      0.0656300
     -0.4347826,      0.0000000,      3.1415927,      0.0680040
     -0.3478261,      0.0000000,      3.1415927,      0.0693272
     -0.2608696,      0.0000000,      3.1415927,      0.0699410
     -0.1739130,      0.0000000,      3.1415927,      0.0705367
     -0.0869565,      0.0000000,      3.1415927,      0.0711455
      0.0000000,      0.0000000,      0.0000000,      0.0714758
      0.0869565,      0.0000000,      0.0000000,      0.0716965
      0.1739130,      0.0000000,      0.0000000,      0.0718336
      0.2608696,      0.0000000,      0.0000000,      0.0718984
      0.3478261,      0.0000000,      0.0000000,      0.0719593
      0.4347826,      0.0000000,      0.0000000,      0.0719657
      0.5217391,      0.0000000,      0.0000000,      0.0719471
      0.6086957,      0.0000000,      0.0000000,      0.0719519
      0.6956522,      0.0000000,      0.0000000,      0.0719397
      0.7826087,      0.0000000,      0.0000000,      0.0719392
      0.8695652,      0.0000000,      0.0000000,      0.0719493
      0.9565217,      0.0000000,      0.0000000,      0.0719541
