Iter, Time, Residual(RHO), CL, CD
      1,    0.00814312,  1.14773832e+00,   -0.0000000000,    0.0000000000
      2,    0.01221468,  8.31878874e-01,    0.0173028109,    0.0058332248
      3,    0.01619804,  7.29649031e-01,    0.0271496622,    0.0090365241
      4,    0.02016529,  6.65970794e-01,    0.0340091025,    0.0112968305
      5,    0.02413207,  6.18456512e-01,    0.0392469584,    0.0130507425
      6,    0.02809174,  5.79961364e-01,    0.0434535524,    0.0144660190
      7,    0.03204155,  5.47571670e-01,    0.0469270435,    0.0156399404
      8,    0.03598151,  5.19811633e-01,    0.0498547774,    0.0166346689
      9,    0.03991253,  4.95982586e-01,    0.0523681648,    0.0174907256
     10,    0.04383564,  4.75389197e-01,    0.0545570442,    0.0182355553
     11,    0.04775173,  4.57432689e-01,    0.0564832491,    0.0188890914
     12,    0.05166151,  4.41634353e-01,    0.0581910225,    0.0194663445
     13,    0.05556517,  4.27601338e-01,    0.0597140175,    0.0199785788
     14,    0.05946250,  4.15042579e-01,    0.0610781022,    0.0204344959
     15,    0.06335438,  4.03717805e-01,    0.0623043651,    0.0208411445
     16,    0.06724113,  3.93423419e-01,    0.0634108634,    0.0212046172
     17,    0.07112304,  3.84008389e-01,    0.0644131490,    0.0215302678
     18,    0.07500037,  3.75334418e-01,    0.0653246463,    0.0218228108
     19,    0.07887343,  3.67298032e-01,    0.0661569210,    0.0220863651
     20,    0.08274249,  3.59810659e-01,    0.0669198623,    0.0223244867
     21,    0.08660784,  3.52819026e-01,    0.0676215666,    0.0225401931
     22,    0.09046973,  3.46261238e-01,    0.0682690078,    0.0227360692
     23,    0.09432842,  3.40083991e-01,    0.0688677712,    0.0229142483
     24,    0.09818415,  3.34264507e-01,    0.0694225319,    0.0230765689
     25,    0.10203712,  3.28769998e-01,    0.0699372363,    0.0232246313
     26,    0.10588750,  3.23546036e-01,    0.0704152387,    0.0233598333
     27,    0.10973547,  3.18561288e-01,    0.0708594575,    0.0234834093
     28,    0.11358116,  3.13798332e-01,    0.0712725114,    0.0235964648
     29,    0.11742470,  3.09253283e-01,    0.0716568142,    0.0237000020
     30,    0.12126622,  3.04877455e-01,    0.0720146184,    0.0237949335
     31,    0.12510583,  3.00653089e-01,    0.0723480284,    0.0238820893
     32,    0.12894364,  2.96568072e-01,    0.0726589971,    0.0239622211
     33,    0.13277975,  2.92613548e-01,    0.0729493365,    0.0240360108
     34,    0.13661426,  2.88782196e-01,    0.0732207129,    0.0241040749
     35,    0.14044727,  2.85068023e-01,    0.0734746432,    0.0241669678
     36,    0.14427887,  2.81466020e-01,    0.0737124974,    0.0242251865
     37,    0.14810916,  2.77965401e-01,    0.0739355079,    0.0242791763
     38,    0.15193823,  2.74568469e-01,    0.0741447838,    0.0243293375
     39,    0.15576616,  2.71272587e-01,    0.0743413238,    0.0243760306
     40,    0.15959306,  2.68074411e-01,    0.0745259881,    0.0244195700
     41,    0.16341901,  2.64966037e-01,    0.0746995667,    0.0244602451
     42,    0.16724410,  2.61948566e-01,    0.0748627767,    0.0244983209
     43,    0.17106844,  2.59020854e-01,    0.0750162649,    0.0245340393
     44,    0.17489213,  2.56178721e-01,    0.0751606145,    0.0245676233
     45,    0.17871527,  2.53419625e-01,    0.0752963530,    0.0245992790
     46,    0.18253796,  2.50738961e-01,    0.0754239600,    0.0246291999
     47,    0.18636033,  2.48133176e-01,    0.0755438791,    0.0246575705
     48,    0.19018249,  2.45599134e-01,    0.0756565288,    0.0246845703
     49,    0.19400457,  2.43133916e-01,    0.0757623149,    0.0247103768
     50,    0.19782669,  2.40740485e-01,    0.0758616396,    0.0247351685
     51,    0.20164900,  2.38410859e-01,    0.0759549097,    0.0247591258
     52,    0.20547163,  2.36140701e-01,    0.0760425401,    0.0247824310
     53,    0.20929470,  2.33920132e-01,    0.0761249554,    0.0248052672
     54,    0.21311834,  2.31751846e-01,    0.0762025875,    0.0248278154
     55,    0.21694268,  2.29635181e-01,    0.0762758711,    0.0248502516
     56,    0.22076782,  2.27567875e-01,    0.0763452347,    0.0248727420
     57,    0.22459387,  2.25547430e-01,    0.0764110919,    0.0248954393
     58,    0.22842092,  2.23572904e-01,    0.0764738317,    0.0249184782
     59,    0.23224903,  2.21642661e-01,    0.0765338112,    0.0249419725
     60,    0.23607829,  2.19755140e-01,    0.0765913477,    0.0249660125
     61,    0.23990872,  2.17908808e-01,    0.0766467143,    0.0249906638
     62,    0.24374038,  2.16102327e-01,    0.0767001375,    0.0250159664
     63,    0.24757327,  2.14334771e-01,    0.0767517965,    0.0250419363
     64,    0.25140743,  2.12604823e-01,    0.0768018292,    0.0250685657
     65,    0.25524285,  2.10911152e-01,    0.0768503381,    0.0250958257
     66,    0.25907952,  2.09252519e-01,    0.0768973816,    0.0251236706
     67,    0.26291744,  2.07627767e-01,    0.0769429857,    0.0251520397
     68,    0.26675658,  2.06035983e-01,    0.0769871503,    0.0251808613
     69,    0.27059694,  2.04475699e-01,    0.0770298548,    0.0252100553
     70,    0.27443847,  2.02945750e-01,    0.0770710654,    0.0252395360
     71,    0.27828117,  2.01445004e-01,    0.0771107396,    0.0252692148
     72,    0.28212500,  1.99972387e-01,    0.0771488308,    0.0252990023
     73,    0.28596993,  1.98526884e-01,    0.0771852917,    0.0253288099
     74,    0.28981594,  1.97107541e-01,    0.0772200766,    0.0253585517
     75,    0.29366300,  1.95713469e-01,    0.0772531431,    0.0253881451
     76,    0.29751108,  1.94343843e-01,    0.0772844533,    0.0254175115
