 CoordinateX,Density,Velocity,Pressure,DummyOutput 
    0.005000000,    0.999999991,    0.000000010,    0.999999988,    0.000000000
    0.015000000,    0.999999958,    0.000000050,    0.999999941,    0.000000000
    0.025000000,    0.999999820,    0.000000213,    0.999999748,    0.000000000
    0.035000000,    0.999999301,    0.000000827,    0.999999021,    0.000000000
    0.045000000,    0.999997535,    0.000002917,    0.999996549,    0.000000000
    0.055000000,    0.999992060,    0.000009395,    0.999988884,    0.000000000
    0.065000000,    0.999976545,    0.000027753,    0.999967163,    0.000000000
    0.075000000,    0.999936233,    0.000075450,    0.999910729,    0.000000000
    0.085000000,    0.999839953,    0.000189371,    0.999775952,    0.000000000
    0.095000000,    0.999628101,    0.000440055,    0.999479426,    0.000000000
    0.105000000,    0.999197744,    0.000949358,    0.998877203,    0.000000000
    0.115000000,    0.998388963,    0.001906789,    0.997745893,    0.000000000
    0.125000000,    0.996979402,    0.003576425,    0.995775547,    0.000000000
    0.135000000,    0.994694410,    0.006286002,    0.992584817,    0.000000000
    0.145000000,    0.991235946,    0.010394683,    0.987762809,    0.000000000
    0.155000000,    0.986325339,    0.016245192,    0.980930513,    0.000000000
    0.165000000,    0.979747515,    0.024114241,    0.971803854,    0.000000000
    0.175000000,    0.971382673,    0.034176687,    0.960238143,    0.000000000
    0.185000000,    0.961216870,    0.046492587,    0.946241699,    0.000000000
    0.195000000,    0.949331898,    0.061016640,    0.929959440,    0.000000000
    0.205000000,    0.935881579,    0.077622334,    0.911637048,    0.000000000
    0.215000000,    0.921063568,    0.096131206,    0.891579107,    0.000000000
    0.225000000,    0.905093723,    0.116339755,    0.870111511,    0.000000000
    0.235000000,    0.888186645,    0.138040203,    0.847553330,    0.000000000
    0.245000000,    0.870543065,    0.161034293,    0.824198958,    0.000000000
    0.255000000,    0.852343083,    0.185141086,    0.800308945,    0.000000000
    0.265000000,    0.833743651,    0.210200322,    0.776107048,    0.000000000
    0.275000000,    0.814878777,    0.236072884,    0.751781211,    0.000000000
    0.285000000,    0.795861258,    0.262639580,    0.727486667,    0.000000000
    0.295000000,    0.776785105,    0.289799080,    0.703349963,    0.000000000
    0.305000000,    0.757728165,    0.317465558,    0.679473165,    0.000000000
    0.315000000,    0.738754643,    0.345566332,    0.655937821,    0.000000000
    0.325000000,    0.719917385,    0.374039673,    0.632808516,    0.000000000
    0.335000000,    0.701259881,    0.402832833,    0.610135942,    0.000000000
    0.345000000,    0.682817977,    0.431900307,    0.587959502,    0.000000000
    0.355000000,    0.664621347,    0.461202291,    0.566309509,    0.000000000
    0.365000000,    0.646694731,    0.490703304,    0.545209022,    0.000000000
    0.375000000,    0.629059025,    0.520370901,    0.524675410,    0.000000000
    0.385000000,    0.611732245,    0.550174415,    0.504721708,    0.000000000
    0.395000000,    0.594730435,    0.580083624,    0.485357824,    0.000000000
    0.405000000,    0.578068586,    0.610067219,    0.466591706,    0.000000000
    0.415000000,    0.561761641,    0.640090883,    0.448430535,    0.000000000
    0.425000000,    0.545825740,    0.670114678,    0.430882105,    0.000000000
    0.435000000,    0.530279885,    0.700089226,    0.413956584,    0.000000000
    0.445000000,    0.515148402,    0.729949816,    0.397669013,    0.000000000
    0.455000000,    0.500464834,    0.759606774,    0.382043175,    0.000000000
    0.465000000,    0.486278526,    0.788928945,    0.367118061,    0.000000000
    0.475000000,    0.472666418,    0.817713850,    0.352959376,    0.000000000
    0.485000000,    0.459755318,    0.845631109,    0.339681238,    0.000000000
    0.495000000,    0.447765806,    0.872110636,    0.327488949,    0.000000000
    0.505000000,    0.437099323,    0.896120398,    0.316763964,    0.000000000
    0.515000000,    0.428490207,    0.915776994,    0.308212585,    0.000000000
    0.525000000,    0.423092072,    0.928113453,    0.302950488,    0.000000000
    0.535000000,    0.421559322,    0.931326522,    0.301595983,    0.000000000
    0.545000000,    0.421696184,    0.930520003,    0.301940664,    0.000000000
    0.555000000,    0.421739856,    0.929859194,    0.302224330,    0.000000000
    0.565000000,    0.421650519,    0.929419875,    0.302414868,    0.000000000
    0.575000000,    0.421460214,    0.929099851,    0.302555409,    0.000000000
    0.585000000,    0.421169146,    0.928860529,    0.302662277,    0.000000000
    0.595000000,    0.420764534,    0.928673938,    0.302747330,    0.000000000
    0.605000000,    0.420214109,    0.928524220,    0.302817318,    0.000000000
    0.615000000,    0.419458970,    0.928402563,    0.302876017,    0.000000000
    0.625000000,    0.418402378,    0.928302879,    0.302926059,    0.000000000
    0.635000000,    0.416894870,    0.928220977,    0.302969273,    0.000000000
    0.645000000,    0.414721917,    0.928154069,    0.303006895,    0.000000000
    0.655000000,    0.411603362,    0.928099839,    0.303039957,    0.000000000
    0.665000000,    0.407214998,    0.928056623,    0.303069211,    0.000000000
    0.675000000,    0.401240408,    0.928023023,    0.303095288,    0.000000000
    0.685000000,    0.393448562,    0.927997895,    0.303118710,    0.000000000
    0.695000000,    0.383777177,    0.927980308,    0.303139905,    0.000000000
    0.705000000,    0.372390840,    0.927969428,    0.303159264,    0.000000000
    0.715000000,    0.359687037,    0.927964577,    0.303177128,    0.000000000
    0.725000000,    0.346243265,    0.927965153,    0.303193818,    0.000000000
    0.735000000,    0.332722272,    0.927970698,    0.303209618,    0.000000000
    0.745000000,    0.319766676,    0.927980902,    0.303224780,    0.000000000
    0.755000000,    0.307912097,    0.927995513,    0.303239550,    0.000000000
    0.765000000,    0.297534873,    0.928014411,    0.303254151,    0.000000000
    0.775000000,    0.288836011,    0.928037512,    0.303268808,    0.000000000
    0.785000000,    0.281853584,    0.928064783,    0.303283746,    0.000000000
    0.795000000,    0.276492968,    0.928096331,    0.303299146,    0.000000000
    0.805000000,    0.272565639,    0.928132179,    0.303315224,    0.000000000
    0.815000000,    0.269829422,    0.928172427,    0.303332161,    0.000000000
    0.825000000,    0.268025352,    0.928217334,    0.303350062,    0.000000000
    0.835000000,    0.266907665,    0.928266779,    0.303369120,    0.000000000
    0.845000000,    0.266264185,    0.928320794,    0.303389400,    0.000000000
    0.855000000,    0.265926708,    0.928379574,    0.303410788,    0.000000000
    0.865000000,    0.265772613,    0.928442008,    0.303433388,    0.000000000
    0.875000000,    0.265719157,    0.928507083,    0.303456715,    0.000000000
    0.885000000,    0.265714082,    0.928569660,    0.303478498,    0.000000000
    0.895000000,    0.265718975,    0.928578990,    0.303482957,    0.000000000
    0.905000000,    0.265618322,    0.928061114,    0.303309316,    0.000000000
    0.915000000,    0.264429852,    0.922587697,    0.301435607,    0.000000000
    0.925000000,    0.255567797,    0.882589538,    0.287884153,    0.000000000
    0.935000000,    0.220765839,    0.708674450,    0.235709284,    0.000000000
    0.945000000,    0.162860082,    0.329264156,    0.151060176,    0.000000000
    0.955000000,    0.131048047,    0.054160864,    0.107320246,    0.000000000
    0.965000000,    0.125508102,    0.004353985,    0.100576752,    0.000000000
    0.975000000,    0.125036037,    0.000305535,    0.100040422,    0.000000000
    0.985000000,    0.125002490,    0.000021087,    0.100002790,    0.000000000
    0.995000000,    0.125000170,    0.000001438,    0.100000190,    0.000000000

